Module	Section	Sample Name	Source
FastQC	all_sections	A14c_B1_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14c_B1_R1_fastqc.zip
FastQC	all_sections	A13b_B1_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13b_B1_R1_fastqc.zip
FastQC	all_sections	A13b_B2_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13b_B2_R1_fastqc.zip
FastQC	all_sections	A14c_B2_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14c_B2_R1_fastqc.zip
FastQC	all_sections	A14b_B1_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14b_B1_R1_fastqc.zip
FastQC	all_sections	A13c_B1_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13c_B1_R1_fastqc.zip
FastQC	all_sections	A13c_B2_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13c_B2_R1_fastqc.zip
FastQC	all_sections	A14b_B2_R1	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14b_B2_R1_fastqc.zip
FastQC	all_sections	A13c_B2_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13c_B2_R2_fastqc.zip
FastQC	all_sections	A14b_B2_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14b_B2_R2_fastqc.zip
FastQC	all_sections	A14b_B1_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14b_B1_R2_fastqc.zip
FastQC	all_sections	A13c_B1_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13c_B1_R2_fastqc.zip
FastQC	all_sections	A13b_B2_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13b_B2_R2_fastqc.zip
FastQC	all_sections	A14c_B2_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14c_B2_R2_fastqc.zip
FastQC	all_sections	A14c_B1_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A14c_B1_R2_fastqc.zip
FastQC	all_sections	A13b_B1_R2	/Users/daniel/OneDrive - UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/owncloud/CLASE_BIOINFORMATICA_AVANZADA/ANALISIS_SECUENCIACION/PRACTICA_9_ENSAMBLE/RNASeq_small/A13b_B1_R2_fastqc.zip
